Resolución;Fecha;Resumen;Subtema;año
 020-2000 ;24/10/2000; 020-2000  Aprueban el Peaje Unitario por Conexión aplicable al Sistema Eléctrico Interconectado Nacional, el Peaje por Conexión e Ingreso Tarifario Esperado de la Línea de Transmisión Socabaya - Moquegua.(e. 24/10/2000, p. 25/10/2000).;Tarifarias;2000
 021-2000 ;24/10/2000; 021-2000  Fijan Tarifas en Barra para suministros y fórmulas de actualización a que se refiere el Art. 43° inciso c) de la Ley de Concesiones Eléctricas.(e. 24/10/2000, p. 25/10/2000).;Tarifarias;2000
 022-2000 ;2/11/2000; 022-2000  Declaran fundado en parte Recurso de Reconsideración interpuesto por la Empresa EDELR contra la Resolución  016-2000 . (e. 02/11/2000, p. 03/11/2000).;Tarifarias;2000
 023-2000 ;2/11/2000; 023-2000  Declaran fundado en parte Recurso de Reconsideración interpuesto por la Empresa Luz del Sur S.A.A. contra la Resolución  016-2000 . (e. 02/11/2000, p. 03/11/2000).;Tarifarias;2000
 024-2000 ;2/11/2000; 024-2000  Declaran infundado en todos sus extremos Recurso de Reconsideración interpuesto por la Empresa ELECTRO SUR MEDIO contra la Resolución  016-2000 . (e. 02/11/2000, p. 03/11/2000).;Tarifarias;2000
 025-2000 ;2/11/2000; 025-2000  Modifican el tipo de conexión C2 para la opción tarifaria BT5 a que se refiere la Resolución 009-94 , aplicable a suministros trifásicos de 3 kW hasta 20 kW. (e. 02/11/2000, p. 03/11/2000).;Tarifarias;2000
 026-2000 ;17/11/2000; 026-2000  Aprueban, en vía de regularización, Tarifa Máxima Inicial para la distribución de gas natural por red de ductos en el distrito de Pariñas, provincia de Talara. (e. 17/11/2000, p. 18/11/2000).;Tarifarias;2000
 027-2000 ;17/11/2000; 027-2000  Autorizan viaje del Jefe de la División de Distribución Eléctrica a El Salvador para participar como expositor invitado por ACERCA en el seminario taller sobre cálculo del valor agregado de distribución. (e. 17/11/2000, p. 18/11/2000).;Tarifarias;2000
 028-2000 ;3/12/2000; 028-2000  Declaran infundada reconsideración interpuesta por el COES-SICN contra la Resolución que fijó la Tasa de Indisponibilidad Fortuita de la unidad de punta y el Margen de Reserva Firme Objetivo del Sistema Interconectado Nacional. (e. 03/12/2000, p. 05/12/2000).;Tarifarias;2000
 029-2000 ;3/12/2000; 029-2000  Declaran infundada reconsideración interpuesta por el COES-SICN contra la Resolución que fijó las tarifas en barra y fórmulas de reajuste. (e. 03/12/2000, p. 05/12/2000).;Tarifarias;2000
 030-2000 ;20/12/2000;" 030-2000  Aprueban documento ""Procedimiento y Cálculo de la Tarifa en Barra"" correspondiente al período viembre 2000. (e. 20/12/2000, p. 21/12/2000).";Tarifarias;2000
 001-2001 ;17/01/2001; 001-2001  Fijan clasificación de los Sistemas Eléctricos Puquina-Omate-Ubinas, Atalaya, Campo Verde e Incuyo. (e. 17/01/2001, p. 20/01/2001).;Tarifarias;2001
 002-2001 ;8/02/2001; 002-2001  Aprueban Procedimiento de Liquidación Anual de Ingresos de los Sistemas de Transmisión con Contrato BOOT Aplicable al Sistema Principal de Transmisión (e. 08/02/2001, p. 09/02/2001).;Tarifarias;2001
 003-2001 ;5/03/2001; 003-2001  Aprueban el Peaje por Conexión e Ingreso Tarifario Esperado correspondiente a las Líneas de Transmisión Moquegua-Tacna y Moquegua-Pu. (e. 05/03/2001, p. 06/03/2001).;Tarifarias;2001
 004-2001 ;5/04/2001; 004-2001  Fijan Compensación Mensual que los concesionarios de generación deberán pagar por uso de instalaciones del Sistema Mantaro-Lima pertenecientes a ETECEN S.A. (e. 05/04/2001, p. 09/04/2001).;Tarifarias;2001
 005-2001 ;11/04/2001; 005-2001  Declaran infundada reconsideración contra resolución referida a solicitud de medidas correctivas de los costos del peaje de conexión dentro del Sistema Tarifario. (e. 11/04/2001, p. 12/04/2001).;Tarifarias;2001
 006-2001 ;11/04/2001; 006-2001  Fijan Tarifas en Barra para suministros a que se refiere el artículo 43° de la Ley de Concesiones Eléctricas, tarifas de transmisión y sus fórmulas de actualización. Fe de Erratas publicada con fecha 21.04.2001 (e. 11/04/2001, p. 12/04/2001).;Tarifarias;2001
 007-2001 ;27/04/2001; 007-2001  Aprueban Factor de Balance de Potencia Coincidente en Horas de Punta a nivel de empresas, aplicable a sistemas eléctricos con demanda máxima mayor a 12 MW. (e. 27/04/2001, p. 28/04/2001).;Tarifarias;2001
 008-2001 ;27/04/2001; 008-2001  Aprueban factores de ponderación aplicables para el cálculo de cargo de energía de las opciones tarifarias MT4, BT4 y BT5. (e. 27/04/2001, p. 28/04/2001).;Tarifarias;2001
 009-2001 ;9/05/2001;" 009-2001  Someten a Consulta Ciudadana el Documento de Trabajo ""Aplicación de los Cargos por Transmisión y Distribución para los Clientes Libres"". (e. 09/05/2001, p. 10/05/2001).";Tarifarias;2001
  0841-2001-;21/05/2001;  0841-2001- Declaran fundada en parte impugnación interpuesta por la Empresa de Transmisión Eléctrica Centro rte S.A. contra la resolución que fijó la compensación mensual que las centrales de generación deben pagar por uso de instalaciones del SST Mantaro-Lima pertenecientes a ETECEN. (e. 21/05/2001, p. 22/05/2001).;Tarifarias;2001
  0842-2001-;23/05/2001;  0842-2001- Declaran fundado en parte recurso de reconsideración interpuesto por la Empresa de Electricidad de los Andes S.A. contra la resolución . 006-2001-. (e. 23/05/2001, p. 30/05/2001).;Tarifarias;2001
  0843-2001-;23/05/2001;  0843-2001- Declaran fundado en parte recurso de reconsideración interpuesto por la Empresa de Transmisión Eléctrica Centro rte S.A. contra la resolución . 006-2001-. (e. 23/05/2001, p. 30/05/2001).;Tarifarias;2001
  0844-2001-;23/05/2001;  0844-2001- Declaran fundado en parte recurso de reconsideración interpuesto por el Comité de Operación Económica del Sistema Centro rte contra la resolución . 006-2001-. (e. 23/05/2001, p. 30/05/2001).;Tarifarias;2001
  0845-2001-;23/05/2001;  0845-2001- Declaran fundado en parte recurso de reconsideración interpuesto por la Empresa Electricidad del Perú S.A. contra la resolución . 006-2001-. (e. 23/05/2001, p. 30/05/2001).;Tarifarias;2001
  0846-2001-;23/05/2001;  0846-2001- Declaran fundado en parte recurso de reconsideración interpuesto por la Empresa Aguaytía Energy S.R.L. contra la resolución . 006-2001-. (e. 23/05/2001, p. 30/05/2001).;Tarifarias;2001
  0847-2001-;23/05/2001;  0847-2001- Declaran fundado en parte Recurso de Reconsideración interpuesto por la Empresa Duke Energy International EGER S.A. contra la Resolución  006-2001  (e. 23/05/2001, p. 31/05/2001).;Tarifarias;2001
  0848-2001-;23/05/2001;  0848-2001- Declaran infundado e improcedente en parte Recurso de Reconsideración interpuesto por la Empresa ELECTRO R OESTE S.A. contra la Resolución  006-2001  (e. 23/05/2001, p. 31/05/2001).;Tarifarias;2001
  0849-2001-;23/05/2001;  0849-2001- Declaran infundado e improcedente en parte Recurso de Reconsideración interpuesto por la Empresa ELECTRO RTE S.A. contra la Resolución  006-2001  (e. 23/05/2001, p. 31/05/2001).;Tarifarias;2001
  0850-2001-;23/05/2001;  0850-2001- Declaran infundado e improcedente en parte Recurso de Reconsideración interpuesto por la Empresa ELECTRO CENTRO S.A. contra la Resolución  006-2001  (e. 23/05/2001, p. 31/05/2001).;Tarifarias;2001
  0851-2001-;23/05/2001;  0851-2001- Declaran infundado e improcedente en parte Recurso de Reconsideración interpuesto por la Empresa ELECTRO RTE MEDIO S.A. contra la Resolución  006-2001  (e. 23/05/2001, p. 31/05/2001).;Tarifarias;2001
  0852-2001-;23/05/2001;  0852-2001- Modifican la Resolución 006-2001  en lo relativo al valor unitario y monto de Peaje por Conexión del Sistema Principal de Transmisión y pago de compensaciones por uso de instalaciones Secundarias. (e. 23/05/2001, p. 31/05/2001).;Tarifarias;2001
  0962-2001-;6/06/2001;  0962-2001- Declaran fundado en parte Recurso de Reconsideración presentado por la Empresa ELECTRO RTE MEDIO S.A. contra la Resolución  007-2001 . (e. 06/06/2001, p. 09/06/2001).;Tarifarias;2001
  0963-2001-;6/06/2001;  0963-2001- Declaran fundado en parte Recurso de Reconsideración interpuesto por la Empresa ELECTRO CENTRO S.A. contra la Resolución  007-2001 . (e. 06/06/2001, p. 09/06/2001).;Tarifarias;2001
  0964-2001-;6/06/2001;  0964-2001- Declaran infundado Recurso de Reconsideración interpuesto por la Empresa ELECTRO RTE S.A. contra la Resolución  007-2001 . (e. 06/06/2001, p. 09/06/2001).;Tarifarias;2001
  0965-2001-;6/06/2001;  0965-2001- Declaran infundado Recurso de Reconsideración interpuesto por la Empresa ELECTRO R OESTE S.A. contra la Resolución  007-2001 . (e. 06/06/2001, p. 09/06/2001).;Tarifarias;2001
 . 0840-2001-OS/C;21/05/2001; . 0840-2001- Declaran infundada impugnación interpuesta por la Empresa Electricidad del Perú S.A. contra la resolución que fijó la compensación mensual que las centrales de generación deben pagar por uso de instalaciones del SST Mantaro-Lima pertenecientes a ETECEN. (e. 21/05/2001, p. 22/05/2001).;Tarifarias;2001
 . 1087-2001-OS/C;4/07/2001; . 1087-2001- Declaran fundado en parte recurso de reconsideración interpuesto por la Empresa EDEGEL S.A.A. contra la resolución  . 0852-2001-. (e. 04/07/2001, p. 07/07/2001).;Tarifarias;2001
 . 1088-2001-OS/C;4/07/2001; . 1088-2001- Aprueban publicación del documento “Procedimiento y Cálculo de la Tarifa en Barra” correspondiente al mes de mayo del año 2001. (e. 04/07/2001, p. 09/07/2001).;Tarifarias;2001
 . 1089-2001-OS/C;4/07/2001; . 1089-2001- Aprueban el “Procedimiento para Aplicación de los Cargos de Transmisión y Distribución a Clientes Libres. (e. 04/07/2001, p. 09/07/2001).;Tarifarias;2001
 . 1090-2001-OS/C;4/07/2001; . 1090-2001- Precisan Procedimiento a seguir para suplir la falta de información de algu de los marcadores utilizados en la fórmula de reajuste del precio del carbón. (e. 04/07/2001, p. 07/07/2001).;Tarifarias;2001
 . 1169-2001-OS/C;17/07/2001; . 1169-2001- Fijan la compensación mensual que recibirá ELECTROPERÚ S.A. por las celdas en 220kV ubicadas en la subestación Campo Armiño. (e. 17/07/2001, p. 21/07/2001).;Tarifarias;2001
 . 1448-2001-OS/C;15/08/2001; . 1448-2001- Agregan subestación base al cuadro “Tarifas en Barra en Subestaciones Base” de la Resolución  006-2001- (e. 15/08/2001, p. 17/08/2001).;Tarifarias;2001
 . 1449-2001-OS/C;15/08/2001; . 1449-2001- Fijan la compensación mensual que percibirá ETESELVA S.R.L. por el Uso de su Sistema Secundario de Transmisión. (e. 15/08/2001, p. 17/08/2001).;Tarifarias;2001
 . 1450-2001-OS/C;15/08/2001; . 1450-2001- Declaran improcedente, reconsideración interpuesta contra Resolución que aprobó el Procedimiento para Ampliación de los Cargos por Transmisión y Distribución a Clientes Libres. (e. 15/08/2001, p. 23/08/2001).;Tarifarias;2001
 . 1534-2001-OS/C;21/08/2001; . 1534-2001- Fijan la compensación mensual que percibirá ELECTROANDES S.A. por el Uso de su Sistema Secundario de Transmisión y de las Celdas de Salida en 50kV hacia las Cargas Compresora y San Antonio para el Cliente Libre Empresa Minera YAULIYACU S.A. (e. 21/08/2001, p. 28/08/2001).;Tarifarias;2001
 . 1611-2001-OS/C;5/09/2001; . 1611-2001- Proyecto de rma de las Opciones Tarifarias y Condiciones de Aplicación de las Tarifas a Usuario Final. (e. 05/09/2001, p. 08/09/2001).;Tarifarias;2001
 . 1612-2001-OS/C;5/09/2001; . 1612-2001- Convocan a Audiencia Pública para la exposición de estudios de tarifas de distribución eléctrica realizados por empresas concesionarias y consultoras. (e. 05/09/2001, p. 08/09/2001).;Tarifarias;2001
 . 1710-2001-OS/C;12/09/2001; . 1710-2001- Convocan a audiencia pública para exponer Estudio Técnico Económico sobre la Tarifa en Barra elaborado por el Comité de Operación Económica del Sistema Interconectado Nacional. (e. 12/09/2001, p. 19/09/2001).;Tarifarias;2001
 . 1792-2001-OS/C;26/09/2001; . 1792-2001- Proyecto de rma de Procedimientos de Aplicación del Fondo de Compensación Social Eléctrica FOSE. (e. 26/09/2001, p. 28/09/2001).;Tarifarias;2001
 . 1794-2001-OS/C;26/09/2001; . 1794-2001- Fijan clasificación y factores de ponderación de Valores Agregados de Distribución de diversas empresas de distribución eléctrica (e. 26/09/2001, p. 03/10/2001).;Tarifarias;2001
 . 1795-2001-OS/C;26/09/2001; . 1795-2001- Declaran fundado en parte recurso de reconsideración interpuesto por la Empresa de Electricidad de los Andes S.A. contra la Resolución  . 1449-2001-. (e. 26/09/2001, p. 06/10/2001).;Tarifarias;2001
 . 1796-2001-OS/C;26/09/2001; . 1796-2001- Declaran infundado recurso de reconsideración interpuesto por ETESELVA S.R.L. contra la Resolución  . 1449-2001-. (e. 26/09/2001, p. 06/10/2001).;Tarifarias;2001
 . 1797-2001-OS/C;26/09/2001; . 1797-2001- Declaran fundado en parte recurso de reconsideración interpuesto por TERMOSELVA S.R.L. contra la Resolución  . 1449-2001-. (e. 26/09/2001, p. 06/10/2001).;Tarifarias;2001
 . 1908-2001-OS/C;11/10/2001; . 1908-2001- Opciones Tarifarias y Condiciones de Aplicación de las Tarifas a Usuario Final (e. 11/10/2001, p. 13/10/2001).;Tarifarias;2001
 . 1909-2001-OS/C;11/10/2001; . 1909-2001- Metrados de las Instalaciones de Distribución Eléctrica y Factor de Ajuste del VNR. (e. 11/10/2001, p. 13/10/2001).;Tarifarias;2001
 . 2120-2001-OS/C;15/10/2001; . 2120-2001- Fijan Valores Agregados de Distribución, Cargos Fijos y Parámetros de Cálculo Tarifario y las fórmulas de actualización. (e. 15/10/2001, p. 16/10/2001).;Tarifarias;2001
 . 2122-2001-OS/C;29/10/2001; . 2122-2001- Fijan Tarifas en Barra para suministros a que se refiere el artículo 43° de la Ley de Concesiones Eléctricas, tarifas de transmisión y sus fórmulas de actualización. (e. 29/10/2001, p. 30/10/2001).;Tarifarias;2001
 . 2123-2001-OS/C;29/10/2001; . 2123-2001- Aprueban Procedimientos de Aplicación del Fondo de Compensación Social - FOSE (e. 29/10/2001, p. 30/10/2001).;Tarifarias;2001
 . 2124-2001-OS/C;29/10/2001; . 2124-2001- Aprueban Factor de Recargo del Fondo de Compensación Social Eléctrica (FOSE) aplicable a cargos tarifarios de usuarios del servicio público de electricidad de sistemas interconectados. (e. 29/10/2001, p. 30/10/2001).;Tarifarias;2001
 . 2125-2001-OS/C;29/10/2001; . 2125-2001- Disponen Presentación del contenido de estudios para la regulación de las tarifas en barra y convocan a Audiencia Pública para exposición de recursos de reconsideración. (e. 29/10/2001, p. 07/11/2001).;Tarifarias;2001
 . 2126-2001-OS/C;29/10/2001; . 2126-2001- Declaran fundado recurso de reconsideración interpuesto por la Empresa de Electricidad de Los Andes S.A. – ELECTROANDES- contra la Resolución 1534-2001- (e. 29/10/2001, p. 07/11/2001).;Tarifarias;2001
 . 2127-2001-OS/C;29/10/2001; . 2127-2001- Fijan la compensación mensual que percibirá ETESUR S.A. por el uso de la L.T. 138kV Quencoro-Tintaya. (e. 29/10/2001, p. 13/11/2001).;Tarifarias;2001
 . 2128-2001-OS/C;29/10/2001; . 2128-2001- Fijan la compensación mensual que percibirá EDEGEL S.A.A. por el uso del SST Purunhuasi-Chavarría. (e. 29/10/2001, p. 13/11/2001).;Tarifarias;2001
 . 2638-2001-OS/C;21/11/2001; . 2638-2001- Declaran fundado en parte recurso de reconsideración interpuesto por Electrorte S.A. contra resolución que fijó clasificación de sistema de distribución eléctrica y factores de ponderación de Valores Agregado de Distribución eléctrica y factores de ponderación de Valores Agregados de Distribución. (e. 21/11/2001, p. 27/11/2001).;Tarifarias;2001
 . 2639-2001-OS/C;21/11/2001; . 2639-2001- Declaran fundado en parte recurso de reconsideración interpuesto por Electrorte Medio HIDRANDINA S.A. contra resolución que fijó clasificación de sistema de distribución eléctrica y factores de ponderación de Valores Agregado de Distribución eléctrica y factores de ponderación de Valores Agregados de Distribución y fijan valores de ponderación de los Valores Agregados de Distribución. (e. 21/11/2001, p. 27/11/2001).;Tarifarias;2001
 . 2640-2001-OS/C;21/11/2001; . 2640-2001- Declaran fundado en parte recurso de reconsideración interpuesto por Electrocentro S.A. contra resolución que fijó clasificación de sistema de distribución eléctrica y factores de ponderación de Valores Agregado de Distribución eléctrica y factores de ponderación de Valores Agregados de Distribución y fijan valores de ponderación de los Valores Agregados de Distribución. (e. 21/11/2001, p. 27/11/2001).;Tarifarias;2001
 . 2641-2001-OS/C;21/11/2001; . 2641-2001- Declaran fundado en parte recurso de reconsideración interpuesto por Electroroeste S.A. contra resolución que fijó clasificación de sistema de distribución eléctrica y factores de ponderación de Valores Agregado de Distribución eléctrica y factores de ponderación de Valores Agregados de Distribución. (e. 21/11/2001, p. 27/11/2001).;Tarifarias;2001
 . 2642-2001-OS/C;21/11/2001; . 2642-2001- Declaran fundado en parte recurso de reconsideración interpuesto por Electro Sur Este S.A. contra resolución que fijó el valor nuevo de reemplazo de las instalaciones de distribución eléctrica. (e. 21/11/2001, p. 27/11/2001).;Tarifarias;2001
 . 2643-2001-OS/C;21/11/2001; . 2643-2001- Declaran infundado recurso de reconsideración interpuesto por Electrorte S.A. contra resolución que fijó el valor nuevo de reemplazo de las instalaciones de distribución eléctrica. (e. 21/11/2001, p. 27/11/2001).;Tarifarias;2001
 . 2644-2001-OS/C;21/11/2001; . 2644-2001- Declaran fundado en parte recurso de reconsideración interpuesto por EDELR S.A.A. contra resolución  2120-2001- que fijó los valores agregados de distribución, cargos fijos y parámetros de cálculo tarifario. (e. 21/11/2001, p. 04/12/2001).;Tarifarias;2001
 . 2855-2001-OS/C;26/11/2001; . 2855-2001- Declaran fundado recurso de reconsideración interpuesto por ELECTROCENTRO S.A., en lo referente al sector típico 4, contra resolución  2120-2001- que fijó los valores agregados de distribución, cargos fijos y parámetros de cálculo tarifario. (e. 26/11/2001, p. 02/12/2001).;Tarifarias;2001
 . 2856-2001-OS/C;26/11/2001; . 2856-2001- Declaran infundado recurso de reconsideración interpuesto por ELECTRO SUR ESTE S.A.A.. contra resolución  2120-2001- que fijó los valores agregados de distribución, cargos fijos y parámetros de cálculo tarifario. (e. 26/11/2001, p. 02/12/2001).;Tarifarias;2001
 . 2857-2001-OS/C;26/11/2001; . 2857-2001- Declaran fundado recurso de reconsideración interpuesto por ELECTROCENTRO S.A., en lo referente al sector típico 2, contra resolución  2120-2001- que fijó los valores agregados de distribución, cargos fijos y parámetros de cálculo tarifario. (e. 26/11/2001, p. 02/12/2001).;Tarifarias;2001
 . 2858-2001-OS/C;26/11/2001; . 2858-2001- Declaran fundado recurso de reconsideración interpuesto por HIDRANDINA contra resolución  2120-2001- que fijó los valores agregados de distribución, cargos fijos y parámetros de cálculo tarifario. (e. 26/11/2001, p. 04/12/2001).;Tarifarias;2001
 . 2859-2001-OS/C;26/11/2001; . 2859-2001- Declaran fundado recurso de reconsideración interpuesto por ELECTRORTE S.A. contra resolución  2120-2001- que fijó los valores agregados de distribución, cargos fijos y parámetros de cálculo tarifario. (e. 26/11/2001, p. 04/12/2001).;Tarifarias;2001
 . 2860-2001-OS/C;26/11/2001; . 2860-2001- Declaran fundado recurso de reconsideración interpuesto por ELECTROROESTE S.A. contra resolución  2120-2001- que fijó los valores agregados de distribución, cargos fijos y parámetros de cálculo tarifario. (e. 26/11/2001, p. 04/12/2001).;Tarifarias;2001
 . 2861-2001-OS/C;26/11/2001; . 2861-2001- Declaran fundado recurso de reconsideración interpuesto por COELVISA contra resolución  2120-2001- que fijó los valores agregados de distribución, cargos fijos y parámetros de cálculo tarifario. (e. 26/11/2001, p. 04/12/2001).;Tarifarias;2001
 . 2862-2001-OS/C;21/11/2001; . 2862-2001- Declaran fundado recurso de reconsideración interpuesto por ELECTRO SUR MEDIO contra resolución  2120-2001- que fijó los valores agregados de distribución, cargos fijos y parámetros de cálculo tarifario. (e. 21/11/2001, p. 27/11/2001).;Tarifarias;2001
 . 2872-2001-OS/C;10/12/2001; . 2872-2001- Declaran fundado en parte el Recurso de Reconsideración interpuesto por COES-SINAC contra la Resolución   2122-2001-. (e. 10/12/2001, p. 11/12/2001).;Tarifarias;2001
 . 2873-2001-OS/C;10/12/2001; . 2873-2001- Declaran fundado en parte el Recurso de Reconsideración interpuesto por DUKE ENERGY INTERNATIONAL EGER S.A., contra la Resolución   2122-2001-. (e. 10/12/2001, p. 11/12/2001).;Tarifarias;2001
 . 2874-2001-OS/C;10/12/2001; . 2874-2001- Modifican valores contenidos en tablas de la Res.  2122-2001- en la parte correspondiente al Sistema Eléctrico Interconectado Nacional. (e. 10/12/2001, p. 11/12/2001).;Tarifarias;2001
 . 2875-2001-OS/C;10/12/2001; . 2875-2001- Aprueban publicación del documento “Proceso de Regulación - Tarifas en Barra” correspondiente a la Regulación tarifaria del mes de viembre del año 2001. (e. 10/12/2001, p. 13/12/2001).;Tarifarias;2001
 . 3077-2001-OS/C;21/12/2001;" . 3077-2001- Aprueban prepublicación de proyecto de rma ""Procedimientos para Fijación de Precios Regulados"" y establecen plazo para remitir comentarios. (e. 21/12/2001, p. 22/12/2001).";Tarifarias;2001
 . 3078-2001-OS/C;21/12/2001; . 3078-2001- Declaran fundada en parte reconsideración contra resolución que fijó compensaciones que deben pagar a EDEGEL S.A.A. los titulares de centrales de generación por uso de instalaciones del sistema Purunhuasi-Chavarría. (e. 21/12/2001, p. 22/12/2001).;Tarifarias;2001
 . 3079-2001-OS/C;21/12/2001; . 3079-2001- Modifican resolución que fijó Tarifas en Barra para suministros a que se refiere el Artículo 43° de la Ley de Concesiones Eléctricas, tarifas de transmisión y sus fórmulas de actualización. (e. 21/12/2001, p. 22/12/2001).;Tarifarias;2001
 . 0001-2002-OS/C;14/01/2002; . 0001-2002- Aprueban la publicación del documento “Proceso de Cálculo de las Tarifas de Distribución Eléctrica” correspondiente a la regulación tarifaria del período viembre 2001 – octubre 2005.(e. 14/01/2002, p. 18/01/2002).;Tarifarias;2002
 . 0002-2002-OS/C;17/01/2002; . 0002-2002- Disponen la publicación en el Diario Oficial del Proyecto de “Reglamento de Audiencias Públicas para Fijación de Precios Regulados” y su Exposición de Motivos. (e. 17/01/2002, p. 18/01/2002).;Tarifarias;2002
 . 0003-2002-OS/C;14/01/2002; . 0003-2002- Aprueban la rma “Procedimientos para Fijación de Precios Regulados” así como su Exposición de Motivos y se dispuso mantener en suspenso la aplicación de los anexos A y B de dicha rma hasta que se aprueben las modificaciones del artículo 51° de la Ley de Concesiones Eléctricas”. (e. 14/01/2002, p. 18/01/2002).;Tarifarias;2002
 . 0177-2002-OS/C;14/01/2002; . 0177-2002- Fijan clasificación y factores de ponderación del VAD del sistema de distribución eléctrico Villacurí de la empresa COELVISA.(e. 14/01/2002, p. 18/01/2002).;Tarifarias;2002
 . 0178-2002-OS/C;14/01/2002; . 0178-2002- Aprueban Factor de Recargo del Fondo de de Compensación Social. (e. 14/01/2002, p. 18/01/2002).;Tarifarias;2002
 . 0179-2002-OS/C;24/01/2002; . 0179-2002- Fijan la Compensación Mensual que percibirá ETECEN S.A. por el Uso de Terceros de las Celdas en la Subestación Santa Rosa (e. 24/01/2002, p. 30/01/2002).;Tarifarias;2002
